"","structure.c.0..0.1..0.2..0.3..0.4..0.5..0.6..0.7..0.8..0.9..1..","structure.c.24.37..24.72..25.075..25.425..25.78..26.13..26.47..","structure.c.18.568..19.0795..19.619..20.18..20.7295..21.22925..","structure.c.29.421..29.6505..29.87025..30.0805..30.2805..30.49025..","structure.c.18.455..19.005..19.535..20.06..20.59..21.105..21.62..","structure.c.14.13975..14.9..15.649..16.389..17.0995..17.77975..","structure.c.21.641..22.0705..22.5005..22.91..23.31..23.72..24.12.."
"90",8.9,47.99,47.00975,48.89,52.76,50.28975,55.2905
"91",9,48.18,47.19975,49.09,53.025,50.5495,55.57
"92",9.1,48.375,47.38,49.3,53.27,50.7995,55.83
"93",9.2,48.56,47.55975,49.52,53.53,51.0495,56.09
"94",9.3,48.76,47.73975,49.71025,53.79,51.29925,56.34
"95",9.4,48.94,47.91975,49.89025,54.04,51.5395,56.59
"96",9.5,49.13,48.1,50.0705,54.3,51.78925,56.84
"97",9.6,49.32,48.27975,50.27025,54.555,52.02925,57.09
"98",9.7,49.5,48.46975,50.4505,54.8,52.26925,57.33
"99",9.8,49.68,48.6495,50.6305,55.045,52.5095,57.57
"100",9.9,49.86,48.82,50.82075,55.285,52.74975,57.81
"101",10,50.04,48.99975,51.0005,55.53,52.97975,58.05
"102",10.1,50.22,49.17975,51.19025,55.76,53.229,58.28025
"103",10.2,50.39,49.35975,51.3905,55.99,53.45925,58.51025
"104",10.3,50.56,49.53,51.58075,56.22,53.699,58.7305
"105",10.4,50.74,49.70975,51.78,56.45,53.929,58.97025
"106",10.5,50.92,49.88,51.97,56.69,54.159,59.2
"107",10.6,51.09,50.05,52.16025,56.91,54.389,59.4105
"108",10.7,51.27,50.21,52.3505,57.13,54.619,59.6305
"109",10.8,51.44,50.38,52.53025,57.365,54.849,59.87
"110",10.9,51.61,50.55,52.72025,57.59,55.07875,60.09
"111",11,51.775,50.69,52.92,57.82,55.26975,60.3105
"112",11.1,51.94,50.8595,53.14,58.04,55.47975,60.55025
"113",11.2,52.11,50.99975,53.34075,58.26,55.7,60.78
"114",11.3,52.27,51.16975,53.53075,58.48,55.93,60.9905
"115",11.4,52.43,51.33975,53.6815,58.68,56.1495,61.21
"116",11.5,52.59,51.49,53.86125,58.89,56.3695,61.42025
"117",11.6,52.76,51.6495,54.07025,59.095,56.57975,61.6305
"118",11.7,52.925,51.78975,54.231,59.295,56.79,61.84075
"119",11.8,53.09,51.94,54.4205,59.505,56.97,62.07
"120",11.9,53.26,52.07,54.6105,59.7,57.16975,62.29
"121",12,53.415,52.2,54.78025,59.895,57.3595,62.50025
"122",12.1,53.57,52.31975,54.95025,60.11,57.54925,62.7105
"123",12.2,53.72,52.45975,55.15025,60.305,57.739,62.92075
"124",12.3,53.875,52.6095,55.35,60.5,57.91975,63.13075
"125",12.4,54.025,52.74,55.56,60.71,58.1295,63.35075
"126",12.5,54.18,52.87975,55.77,60.9,58.339,63.5705
"127",12.6,54.33,53.0195,55.98025,61.08,58.54925,63.78025
"128",12.7,54.48,53.15925,56.19025,61.275,58.74975,63.9705
"129",12.8,54.63,53.27975,56.3605,61.48,58.93975,64.1505
"130",12.9,54.77,53.39975,56.55025,61.65,59.10975,64.33025
"131",13,54.91,53.51975,56.7405,61.85,59.27,64.5105
"132",13.1,55.055,53.63975,56.94,62.05,59.43975,64.7105
"133",13.2,55.2,53.76975,57.13025,62.24,59.61,64.92
"134",13.3,55.35,53.88,57.301,62.42,59.7995,65.12
"135",13.4,55.5,53.97,57.5205,62.605,59.95975,65.31
"136",13.5,55.65,54.0795,57.74,62.805,60.13925,65.5
"137",13.6,55.78,54.18875,57.93025,62.985,60.2895,65.6705
"138",13.7,55.92,54.2885,58.12,63.165,60.47875,65.8505
"139",13.8,56.065,54.37925,58.28,63.34,60.67775,66.021
"140",13.9,56.21,54.47,58.45,63.5,60.867,66.19125
"141",14,56.35,54.5895,58.63025,63.68,61.05625,66.36175
"142",14.1,56.48,54.68925,58.83,63.85,61.22575,66.532
"143",14.2,56.62,54.77925,59.02,64.035,61.36625,66.70225
"144",14.3,56.75,54.86925,59.21,64.19,61.507,66.8625
"145",14.4,56.88,54.9595,59.4,64.36,61.609,67.03275
"146",14.5,57.02,55.05,59.59,64.53,61.73925,67.20275
"147",14.6,57.15,55.1495,59.78,64.7,61.88975,67.373
"148",14.7,57.285,55.24,59.9605,64.875,62.0695,67.543
"149",14.8,57.42,55.32,60.151,65.04,62.2485,67.713
"150",14.9,57.56,55.4,60.35125,65.2,62.3785,67.9025
"151",15,57.685,55.48975,60.561,65.35,62.48925,68.092
"152",15.1,57.81,55.57925,60.76125,65.51,62.6,68.28125
"153",15.2,57.93,55.669,60.97075,65.665,62.72,68.4605
"154",15.3,58.055,55.76875,61.1705,65.83,62.8495,68.6305
"155",15.4,58.18,55.85875,61.37,65.975,62.98925,68.82
"156",15.5,58.31,55.94875,61.5605,66.14,63.12975,68.98
"157",15.6,58.435,56.039,61.7505,66.295,63.27,69.14
"158",15.7,58.555,56.129,61.9305,66.445,63.43975,69.29
"159",15.8,58.68,56.20925,62.1205,66.59,63.57975,69.45
"160",15.9,58.79,56.299,62.3005,66.73,63.7095,69.6
"161",16,58.91,56.389,62.4905,66.88,63.81,69.76
"162",16.1,59.01,56.46925,62.6705,67.03,63.93975,69.91
"163",16.2,59.13,56.5495,62.8505,67.165,64.079,70.06
"164",16.3,59.25,56.63925,63.04025,67.31,64.18925,70.21
"165",16.4,59.37,56.71925,63.24,67.46,64.30975,70.36
"166",16.5,59.49,56.7995,63.42075,67.6,64.4395,70.48025
"167",16.6,59.61,56.86975,63.60125,67.73,64.58925,70.61025
"168",16.7,59.72,56.93975,63.80125,67.87,64.70975,70.7305
"169",16.8,59.835,57.01925,64.00075,68.02,64.82,70.8605
"170",16.9,59.95,57.09875,64.21,68.16,64.94,70.98075
"171",17,60.075,57.17825,64.41,68.3,65.0695,71.101
"172",17.1,60.175,57.248,64.62,68.45,65.18925,71.22125
"173",17.2,60.28,57.3175,64.82,68.57,65.2895,71.36075
"174",17.3,60.4,57.38725,65.03,68.7,65.37975,71.51025
"175",17.4,60.53,57.44725,65.23,68.835,65.49,71.64025
"176",17.5,60.65,57.507,65.44,68.96,65.589,71.761
"177",17.6,60.765,57.57725,65.64,69.08,65.68825,71.891
