Linf,K,t0
62.28378872,0.169371447,-1.382962242
50.87743242,0.362141118,-0.163163153
49.5985082,0.342206147,-0.421176976
54.56206987,0.264501028,-0.712486625
49.89360326,0.33469929,-0.427158039
55.4697724,0.220624818,-1.179653263
53.63941043,0.281513349,-0.507450273
55.33637736,0.215023995,-1.292612741
54.12055975,0.263179817,-0.755408828
52.76526896,0.241173229,-1.05544257
51.00164745,0.371690655,-0.08719634
52.2429627,0.302935624,-0.385532921
49.31705339,0.379756477,-0.069778234
127.8160846,0.049005901,-3.013272367
53.45673139,0.21189012,-1.617543691
47.31928511,0.299137771,-0.888131243
45.80663711,0.410261835,-0.276272648
54.1945275,0.274226142,-0.518422701
56.11548603,0.181508213,-1.872942222
52.87836906,0.270212682,-0.737356078
61.40303204,0.17526167,-1.340923509
196.6516622,0.026413488,-3.77154158
51.27178748,0.281687979,-0.719929596
48.09901407,0.405604664,-0.053357829
52.16051027,0.272302769,-0.822592385
54.36641971,0.262156705,-0.719727731
60.6776039,0.193636689,-1.176295545
65.01731624,0.16831925,-1.225638383
48.10062912,0.3001013,-0.812957458
59.6552195,0.168135702,-1.743414891
58.50060887,0.213970838,-0.961396372
129.73998,0.046703264,-3.220463823
50.18887292,0.355499025,-0.297470327
53.93527161,0.269094528,-0.707091951
46.28825694,0.305037853,-1.011304394
45.66943368,0.412968576,-0.124982031
62.56154579,0.147960962,-2.089174584
54.43321118,0.243850305,-1.074061167
54.2463596,0.170639221,-2.470003797
54.69099102,0.25462854,-0.739548453
54.47222451,0.288686164,-0.468405507
60.86074576,0.199707456,-1.12925681
52.96291441,0.286127314,-0.636863645
49.19317052,0.306123895,-0.699329355
46.55897315,0.48509169,0.220119385
51.38555956,0.28132343,-0.684359414
53.80897303,0.241034639,-0.977001124
45.68114283,0.444292866,-0.068746803
83.63242442,0.098011212,-2.04227227
51.48291569,0.318347125,-0.422456092
49.72293666,0.371589111,-0.086152741
67.04692582,0.119747115,-2.560658082
66.47862361,0.136099937,-2.037850186
43.05529696,0.524894748,0.202666206
52.47306168,0.304268966,-0.354032247
51.8773267,0.254951978,-0.988073246
56.43947973,0.227565449,-0.995426695
67.80822857,0.120599177,-2.479386579
51.38030135,0.372855355,-0.022056668
52.21379852,0.23461303,-1.168182055
47.11858862,0.440469482,0.091043
51.11260418,0.3061399,-0.460109121
49.5268834,0.335977458,-0.384182775
50.83374215,0.260127383,-0.968554933
48.28132543,0.328890885,-0.467542446
52.7126972,0.246902989,-1.114590005
48.84730273,0.439890363,0.202694811
58.84156237,0.233817242,-0.52711939
50.62955289,0.305427008,-0.603987358
64.09679591,0.170688692,-1.217985409
84.47071025,0.092973746,-2.382854941
46.8130663,0.436703663,0.025436631
50.23363817,0.284791516,-0.819583465
48.52050377,0.357427389,-0.321559622
79.90099468,0.107913153,-1.994437954
65.14641522,0.187221789,-0.895253749
53.25580546,0.218647261,-1.42153259
53.72749497,0.196527735,-1.734814251
48.83452001,0.336751779,-0.573389552
51.7418593,0.308085537,-0.484283451
75.45998527,0.085728916,-3.737135387
56.4107203,0.21870164,-1.134597963
47.97773188,0.379703063,-0.205734306
49.36461476,0.36712502,-0.217701268
52.96291441,0.286127314,-0.636863645
57.95706211,0.210450441,-1.103965309
52.02213966,0.290310423,-0.592895143
70.37113287,0.133865105,-1.900084439
48.91427503,0.285664777,-0.962648413
48.80790923,0.294961156,-0.80358625
61.48443482,0.19742878,-0.980771336
52.19041248,0.265282118,-0.873535122
54.60783074,0.310069303,-0.214606834
74.081742,0.117514299,-2.142099216
46.69316312,0.443906339,0.011921864
56.05933899,0.236142959,-0.808007861
53.4032531,0.282086887,-0.582860167
50.51135882,0.308743993,-0.549470836
49.49172782,0.398313437,0.077528234
121.235581,0.048584552,-3.399116172
41.70910097,0.421326315,-0.658678347
47.83595006,0.430929944,0.044147098
52.31777398,0.249778001,-1.131375742
59.0044318,0.2048145,-1.107117644
50.86616294,0.261560227,-1.09613066
47.77573482,0.396915745,-0.145355816
54.67371684,0.239696766,-0.891193955
46.38663206,0.347395073,-0.686641878
66.25752213,0.132613992,-2.033240403
136.811877,0.039729264,-3.687598121
75.14702784,0.152270181,-1.014941086
65.26149631,0.167554103,-1.285558366
50.83223156,0.424508276,0.160870301
57.8508187,0.192390112,-1.408654315
63.46606494,0.152235466,-1.867795575
55.60984306,0.24746697,-0.771173061
50.55204717,0.365132267,-0.096613755
59.30500735,0.188165712,-1.385023198
50.15828558,0.369370631,-0.152524209
193.2493775,0.026773615,-3.822739183
52.49306069,0.286954892,-0.566890178
53.69733762,0.238822778,-0.900253223
46.94457737,0.432867654,-0.055745434
51.07985529,0.295199631,-0.587315796
46.4429773,0.418913419,-0.126143803
45.95927988,0.44440599,-0.005604585
48.57604649,0.424104687,0.062930905
53.30212302,0.272754185,-0.653253767
53.99009932,0.211658763,-1.47807748
52.45232568,0.187500818,-2.093519841
56.86500228,0.192181468,-1.527887244
60.41896362,0.256658253,-0.273729187
53.4248909,0.256330276,-0.845260497
61.3970097,0.174682834,-1.415758925
47.7407407,0.384393474,-0.321372914
50.06714904,0.341229567,-0.318640332
59.09967899,0.153789116,-2.225756691
53.69733762,0.238822778,-0.900253223
46.94457737,0.432867654,-0.055745434
51.07985529,0.295199631,-0.587315796
69.44877519,0.158891787,-1.220139863
85.8769324,0.095319819,-2.181607487
43.89536804,0.497461262,0.058230391
53.12945985,0.313212345,-0.233660192
70.73385647,0.132891192,-1.60995187
55.52269534,0.230217273,-0.993194628
51.51931155,0.273552474,-0.76718983
77.00138019,0.095410462,-2.659520657
48.06569313,0.478428893,0.251410177
74.59356531,0.123255225,-1.71899264
78.5570624,0.105745356,-2.162372042
61.45976631,0.165472338,-1.565450048
52.97492445,0.231540942,-1.208681934
141.3279037,0.038495915,-3.936495952
56.90072663,0.233244768,-0.884376409
46.11143951,0.421920482,-0.213335829
47.02905148,0.362489919,-0.474587014
47.42487922,0.398404731,-0.124303188
51.00129518,0.295322966,-0.538723145
56.93877307,0.234481987,-0.80974852
53.84543332,0.245900006,-0.850887417
48.33293295,0.323463408,-0.665194318
50.01897059,0.280448431,-0.861932541
63.8880094,0.163766251,-1.484295992
50.64969724,0.357468491,-0.247211607
54.13809231,0.26244099,-0.734454607
59.43632734,0.210226078,-0.87243408
66.49089347,0.168269715,-1.064320148
49.36418592,0.403379328,0.067643107
52.70387052,0.300986124,-0.376215534
51.60085694,0.246419343,-1.148491491
53.37089239,0.253401507,-0.964973669
60.39702452,0.161767198,-1.857456428
49.46782749,0.355910135,-0.222078506
81.19071106,0.098874722,-2.259413598
54.96535192,0.273717844,-0.356282196
152.6823192,0.034484026,-3.854973184
60.47354672,0.187082599,-1.237529421
48.70126198,0.334628794,-0.470511908
78.29273763,0.110683018,-1.886075886
46.92180479,0.406627666,-0.194444165
47.13875087,0.412338312,0.003354034
52.33871572,0.289449151,-0.535033819
52.93467244,0.261352996,-0.921024587
49.5196931,0.30779768,-0.763380048
49.35177699,0.283438059,-0.866440234
62.82537418,0.208149247,-0.739081087
52.11601875,0.311268169,-0.280429012
50.95837577,0.323446179,-0.440628781
