"","structure.c.0..0.1..0.2..0.3..0.4..0.5..0.6..0.7..0.8..0.9..1..","c.19.18..19.74..20.275..20.8..21.325..21.87..22.385..22.895..","c.4.386..5.78..7.27..8.65925..10.0865..11.444..12.48875..13.616..","c.28.0505..28.29025..28.52025..28.76025..28.9705..29.2005..29.4305..","c.27.445..27.705..27.98..28.23..28.48..28.72..28.98..29.23..29.49..","c.18.67775..19.22..19.84..20.44875..21.0475..21.63625..22.098..","c.31.47125..31.66125..31.85125..32.051..32.25075..32.45025..32.65..","c.23.795..24.22..24.645..25.06..25.47..25.88..26.28..26.645..","c..0.23125..0.9675..2.13625..3.2755..4.4045..5.5035..6.58275..","c.34.67375..34.84325..35.00325..35.163..35.3425..35.54125..35.74025.."
"61",6,41.315,39.81975,42.67,42.185,40.88975,43.33075,42.93,40.95,44.98075
"62",6.1,41.54,40.0395,42.92025,42.41,41.15975,43.54025,43.155,41.30975,45.13175
"63",6.2,41.76,40.2,43.1705,42.63,41.41,43.75025,43.39,41.6495,45.33175
"64",6.3,41.975,40.4095,43.42025,42.84,41.63,43.95075,43.63,41.95925,45.5305
"65",6.4,42.185,40.6,43.65025,43.05,41.84975,44.18,43.87,42.27,45.73
"66",6.5,42.41,40.76975,43.86075,43.265,42.08925,44.41025,44.1,42.55925,45.93
"67",6.6,42.62,40.94975,44.10025,43.47,42.29975,44.601,44.335,42.81975,46.12025
"68",6.7,42.825,41.08,44.34025,43.67,42.56875,44.821,44.56,43.0995,46.30025
"69",6.8,43.01,41.23975,44.58,43.88,42.76,45.06,44.78,43.35,46.45075
"70",6.9,43.21,41.41975,44.81,44.095,42.94,45.3,45.005,43.61975,46.6105
"71",7,43.41,41.6095,45.03,44.31,43.11,45.51,45.24,43.8795,46.781
"72",7.1,43.615,41.78875,45.27025,44.525,43.3095,45.73,45.46,44.09,46.961
"73",7.2,43.8,41.91,45.491,44.73,43.50975,45.94,45.68,44.33,47.1605
"74",7.3,43.995,42.039,45.7605,44.93,43.73975,46.16,45.89,44.60975,47.35025
"75",7.4,44.2,42.15875,46.02025,45.13,43.93925,46.37,46.095,44.8395,47.5105
"76",7.5,44.38,42.25975,46.23,45.34,44.14,46.57025,46.3,45.08,47.7115
"77",7.6,44.56,42.38925,46.43025,45.53,44.36975,46.78025,46.51,45.32,47.89
"78",7.7,44.745,42.5,46.67,45.74,44.56875,46.99025,46.72,45.54,48.07025
"79",7.8,44.93,42.6285,46.91,45.95,44.74875,47.1905,46.93,45.76,48.26025
"80",7.9,45.11,42.71,47.14,46.15,44.95975,47.3905,47.13,45.97925,48.46025
"81",8,45.28,42.84,47.36,46.35,45.13,47.5905,47.335,46.18925,48.6305
"82",8.1,45.46,42.95,47.59025,46.56,45.31975,47.81025,47.54,46.3895,48.81025
"83",8.2,45.625,43.05,47.80025,46.76,45.51925,48,47.72,46.598,48.95175
"84",8.3,45.805,43.1495,48.00075,46.96,45.68975,48.18,47.92,46.7695,49.16025
"85",8.4,45.99,43.2395,48.22075,47.18,45.84975,48.37025,48.12,46.98,49.37
"86",8.5,46.16,43.339,48.44025,47.375,46.02,48.57025,48.31,47.15,49.55025
"87",8.6,46.33,43.38,48.64025,47.58,46.16975,48.77025,48.5,47.37,49.74025
"88",8.7,46.485,43.459,48.84025,47.785,46.33,48.96025,48.68,47.5695,49.94
"89",8.8,46.655,43.53725,49.03075,47.98,46.5,49.17,48.88,47.7395,50.12
"90",8.9,46.815,43.59725,49.2205,48.165,46.67,49.41,49.06,47.90975,50.32
"91",9,46.97,43.649,49.40025,48.37,46.84,49.6305,49.23,48.07,50.53
"92",9.1,47.11,43.7295,49.58025,48.575,47.01,49.84,49.415,48.23,50.73
"93",9.2,47.265,43.83,49.76075,48.77,47.18,50.0205,49.6,48.38,50.93
"94",9.3,47.41,43.9,49.941,48.97,47.34,50.24025,49.775,48.53,51.11025
"95",9.4,47.555,43.97,50.141,49.16,47.5095,50.45,49.96,48.68975,51.29075
"96",9.5,47.7,44.04,50.3505,49.35,47.6695,50.64025,50.13,48.85,51.46075
"97",9.6,47.85,44.1,50.5505,49.54,47.81975,50.83,50.305,49.01,51.65025
"98",9.7,47.99,44.17,50.74025,49.73,47.98975,51.04,50.48,49.16,51.8105
"99",9.8,48.135,44.23,50.92025,49.93,48.1395,51.26,50.65,49.31,51.97075
"100",9.9,48.28,44.29,51.0905,50.12,48.289,51.48,50.8,49.45975,52.1405
"101",10,48.43,44.3695,51.2505,50.32,48.44875,51.68,50.96,49.6,52.31
"102",10.1,48.555,44.47825,51.4105,50.52,48.57,51.8805,51.12,49.74975,52.48
"103",10.2,48.675,44.5675,51.5705,50.69,48.70925,52.0905,51.28,49.88975,52.64025
"104",10.3,48.8,44.6175,51.74,50.87,48.83,52.31025,51.435,50.0395,52.81
"105",10.4,48.94,44.658,51.8905,51.06,48.95,52.53,51.59,50.18,52.95075
"106",10.5,49.06,44.69825,52.042,51.24,49.08,52.75,51.75,50.31975,53.0905
"107",10.6,49.18,44.72875,52.26125,51.44,49.22875,52.98,51.9,50.45975,53.26075
"108",10.7,49.3,44.75,52.47,51.64,49.37775,53.20025,52.045,50.59975,53.42125
"109",10.8,49.43,44.80925,52.6605,51.83,49.5075,53.42,52.2,50.73975,53.58075
"110",10.9,49.55,44.8495,52.822,52.01,49.62725,53.62025,52.34,50.87,53.7405
"111",11,49.685,44.88,52.9925,52.2,49.7575,53.83,52.48,51.0195,53.91
"112",11.1,49.83,44.93,53.1815,52.39,49.888,54.03025,52.63,51.14975,54.04025
"113",11.2,49.935,44.97,53.37075,52.57,49.989,54.24,52.77,51.28,54.2205
"114",11.3,50.07,45.01975,53.5505,52.76,50.09,54.45,52.92,51.41975,54.40025
"115",11.4,50.17,45.0595,53.73075,52.94,50.22,54.65025,53.07,51.56975,54.58
"116",11.5,50.28,45.10875,53.9105,53.12,50.37,54.85025,53.21,51.69975,54.73
"117",11.6,50.385,45.14925,54.0705,53.305,50.50975,55.0405,53.35,51.82975,54.88
"118",11.7,50.5,45.1895,54.2305,53.48,50.6495,55.27025,53.49,51.9695,55.03025
"119",11.8,50.61,45.22,54.40025,53.66,50.789,55.5,53.62,52.08975,55.17075
"120",11.9,50.715,45.2595,54.58075,53.84,50.86975,55.7105,53.755,52.2095,55.3205
"121",12,50.825,45.26975,54.76075,54.01,50.968,55.92125,53.89,52.3395,55.49075
"122",12.1,50.91,45.28,54.93025,54.19,51.05825,56.1215,54.035,52.4695,55.72
"123",12.2,51,45.29975,55.1005,54.37,51.13975,56.33125,54.165,52.57925,55.8805
"124",12.3,51.095,45.31975,55.27025,54.525,51.26,56.54125,54.3,52.70925,56.03025
"125",12.4,51.185,45.3395,55.4505,54.705,51.4,56.7705,54.43,52.82975,56.18025
"126",12.5,51.29,45.35925,55.64075,54.885,51.53,56.99,54.56,52.9595,56.33175
"127",12.6,51.38,45.36925,55.8305,55.07,51.66,57.20025,54.68,53.0695,56.4815
"128",12.7,51.46,45.389,56.02025,55.26,51.77,57.4205,54.8,53.1995,56.66025
"129",12.8,51.55,45.399,56.20025,55.435,51.86975,57.65025,54.93,53.2995,56.84
"130",12.9,51.655,45.41925,56.40025,55.62,51.9595,57.88,55.05,53.40925,56.99
"131",13,51.74,45.42975,56.57,55.81,52.04925,58.11,55.17,53.5485,57.13075
"132",13.1,51.825,45.45,56.74025,55.98,52.1195,58.33025,55.29,53.63925,57.33
"133",13.2,51.9,45.46975,56.94,56.15,52.1895,58.55,55.41,53.73,57.4705
"134",13.3,51.99,45.49925,57.1105,56.32,52.25,58.78,55.52,53.83975,57.64075
"135",13.4,52.08,45.529,57.29,56.49,52.32975,58.96025,55.64,53.93,57.82025
"136",13.5,52.185,45.539,57.47075,56.67,52.3995,59.14075,55.75,54.02,57.98025
"137",13.6,52.275,45.549,57.67,56.83,52.46975,59.341,55.85,54.13925,58.16025
"138",13.7,52.355,45.559,57.84075,57,52.58,59.5605,55.96,54.2495,58.34025
"139",13.8,52.44,45.569,58.02125,57.18,52.70975,59.79,56.065,54.34975,58.52
"140",13.9,52.525,45.579,58.21075,57.34,52.8385,60.04,56.17,54.45975,58.7
"141",14,52.6,45.57925,58.39025,57.51,52.928,60.29,56.295,54.56,58.88025
"142",14.1,52.685,45.58925,58.5605,57.68,53.00775,60.52,56.405,54.6495,59.05075
"143",14.2,52.75,45.59925,58.75,57.83,53.0875,60.71,56.5,54.72975,59.231
"144",14.3,52.82,45.5995,58.88075,58.01,53.16725,60.91,56.61,54.77975,59.4015
"145",14.4,52.895,45.60975,59.07025,58.17,53.23875,61.11,56.72,54.85,59.581
"146",14.5,52.965,45.61975,59.24075,58.34,53.3295,61.3,56.82,54.93975,59.76025
"147",14.6,53.04,45.6395,59.4215,58.48,53.40925,61.5,56.92,55.02,59.92075
"148",14.7,53.1,45.66875,59.61175,58.645,53.47925,61.69,57.02,55.1,60.10075
"149",14.8,53.17,45.6885,59.8115,58.805,53.559,61.88,57.12,55.19975,60.29075
"150",14.9,53.235,45.708,60.0005,58.975,53.62875,62.07075,57.22,55.3095,60.48
"151",15,53.3,45.72775,60.161,59.13,53.69875,62.2715,57.32,55.40875,60.66
"152",15.1,53.36,45.74725,60.301,59.29,53.7685,62.46225,57.41,55.48825,60.8305
"153",15.2,53.43,45.767,60.4605,59.445,53.82875,62.65275,57.505,55.5385,61.01025
"154",15.3,53.49,45.78675,60.63075,59.605,53.88875,62.84325,57.595,55.57925,61.1515
"155",15.4,53.555,45.80625,60.821,59.76,53.9585,63.0435,57.68,55.62,61.312
"156",15.5,53.63,45.826,61.0015,59.915,54.0185,63.26325,57.765,55.68925,61.4725
"157",15.6,53.71,45.8455,61.191,60.07,54.0785,63.47325,57.86,55.73975,61.63275
"158",15.7,53.79,45.86525,61.37025,60.23,54.1385,63.69325,57.945,55.7995,61.793
"159",15.8,53.86,45.885,61.5505,60.39,54.1985,63.90325,58.03,55.87925,61.94325
"160",15.9,53.905,45.9045,61.731,60.53,54.2585,64.123,58.14,55.959,62.1035
"161",16,53.965,45.9145,61.92125,60.68,54.30875,64.333,58.23,56.02925,62.2735
"162",16.1,54.01,45.93425,62.10175,60.83,54.3685,64.543,58.32,56.08975,62.43375
"163",16.2,54.065,45.944,62.2815,60.98,54.41875,64.753,58.42,56.13975,62.6035
"164",16.3,54.14,45.94425,62.461,61.14,54.4785,64.9725,58.49,56.19,62.76325
"165",16.4,54.2,45.954,62.64,61.315,54.52875,65.1825,58.57,56.23975,62.92275
"166",16.5,54.275,45.95425,62.7615,61.47,54.5885,65.3925,58.68,56.27975,63.0825
"167",16.6,54.355,45.964,62.88275,61.61,54.6385,65.6025,58.76,56.3295,63.25175
"168",16.7,54.425,45.96425,63.0525,61.77,54.6885,65.8125,58.86,56.3695,63.4105
"169",16.8,54.47,45.96425,63.232,61.92,54.7385,66.0225,58.955,56.40925,63.56025
"170",16.9,54.525,45.9645,63.4115,62.07,54.78875,66.23225,59.045,56.44925,63.72025
"171",17,54.58,45.97425,63.591,62.215,54.83875,66.452,59.13,56.4795,63.89
"172",17.1,54.635,45.9745,63.76075,62.385,54.8885,66.67125,59.21,56.49975,64.0305
"173",17.2,54.7,45.9745,63.95025,62.52,54.9385,66.89075,59.285,56.53,64.171
"174",17.3,54.745,45.97475,64.12125,62.66,54.9885,67.11,59.37,56.56975,64.3505
"175",17.4,54.8,45.9845,64.302,62.8,55.02875,67.3,59.45,56.6195,64.52025
"176",17.5,54.86,45.98475,64.4825,62.94,55.079,67.49,59.53,56.63,64.681
