"","structure.c.0..0.1..0.2..0.3..0.4..0.5..0.6..0.7..0.8..0.9..1..","c.9.845..10.99..12.045..13.13..14.15..15.2..16.175..17.14..18.08..","c..4.991...2.46...0.06..2.2765..4.4545..6.52225..8.43175..10.2055..","c.18.64025..19.11025..19.58..20.0525..20.55275..21.12025..21.62225..","c.24.88..25.275..25.655..26.045..26.43..26.785..27.165..27.56..","c..4.72...3.06...0.862249999999999..0.4325..1.6995..3.17..4.97125..","c.29.781..30.08025..30.3105..30.55075..30.83025..31.15025..31.42125..","c.29..29.315..29.635..29.955..30.335..30.68..30.995..31.305..","c..32.17275...29.96575...27.80875...25.702...23.6355...21.6095..","c.45.81..45.94..46.07..46.19025..46.32025..46.4405..46.5705.."
"60",5.9,43.93,41.11,46.32175,44.195,41.38275,47.52175,46.385,40.58975,53.36325
"61",6,44.17,41.29,46.63075,44.465,41.65425,47.89225,46.62,41.07875,53.523
"62",6.1,44.41,41.41975,46.93,44.76,41.92575,48.19125,46.91,41.51,53.7215
"63",6.2,44.63,41.559,47.25025,45.05,42.1685,48.49,47.205,41.86,53.92025
"64",6.3,44.835,41.6785,47.6005,45.335,42.4685,48.7305,47.45,42.279,54.08
"65",6.4,45.05,41.80925,47.941,45.61,42.69,49.001,47.705,42.59975,54.2105
"66",6.5,45.25,41.92975,48.27,45.88,42.83875,49.253,47.935,43.07975,54.341
"67",6.6,45.455,42.0595,48.56,46.165,43.0585,49.494,48.21,43.55675,54.47125
"68",6.7,45.635,42.2765,48.8805,46.43,43.28975,49.73475,48.46,43.88925,54.60075
"69",6.8,45.825,42.35725,49.19025,46.695,43.56825,50.00375,48.76,44.2395,54.73025
"70",6.9,45.995,42.43775,49.51,46.975,43.85775,50.292,49.025,44.6585,54.85025
"71",7,46.165,42.5085,49.8405,47.24,44.1475,50.56075,49.315,44.93975,54.951
"72",7.1,46.33,42.56925,50.1105,47.49,44.43725,50.82,49.58,45.24925,55.061
"73",7.2,46.5,42.63975,50.411,47.76,44.727,51.07,49.87,45.5795,55.211
"74",7.3,46.69,42.70975,50.77,48.015,45.01675,51.34075,50.145,45.8785,55.331
"75",7.4,46.87,42.799,51.0705,48.27,45.29675,51.61175,50.365,46.268,55.4805
"76",7.5,47.045,42.879,51.35025,48.55,45.53775,51.89225,50.62,46.56825,55.63225
"77",7.6,47.2,42.94975,51.64075,48.81,45.75925,52.17275,50.875,46.8195,55.83
"78",7.7,47.37,43.02,51.9215,49.08,45.98,52.463,51.105,47.10825,56.14225
"79",7.8,47.52,43.05975,52.2,49.335,46.2,52.7705,51.325,47.4065,56.29175
"80",7.9,47.67,43.09975,52.46225,49.6,46.42,53.001,51.565,47.7065,56.4315
"81",8,47.82,43.1395,52.7325,49.85,46.65,53.241,51.79,47.899,56.58075
"82",8.1,47.94,43.16975,53.05025,50.11,46.87,53.51,52.01,48.15,56.73025
"83",8.2,48.075,43.19975,53.31325,50.35,47.09,53.77,52.25,48.46,56.87
"84",8.3,48.195,43.22975,53.691,50.59,47.31,54.03,52.465,48.74975,56.99025
