"","structure.c.0..0.1..0.2..0.3..0.4..0.5..0.6..0.7..0.8..0.9..1..","c.9.845..10.99..12.045..13.13..14.15..15.2..16.175..17.14..18.08..","c..4.991...2.46...0.06..2.2765..4.4545..6.52225..8.43175..10.2055..","c.18.64025..19.11025..19.58..20.0525..20.55275..21.12025..21.62225..","c.24.88..25.275..25.655..26.045..26.43..26.785..27.165..27.56..","c..4.72...3.06...0.862249999999999..0.4325..1.6995..3.17..4.97125..","c.29.781..30.08025..30.3105..30.55075..30.83025..31.15025..31.42125..","c.29..29.315..29.635..29.955..30.335..30.68..30.995..31.305..","c..32.17275...29.96575...27.80875...25.702...23.6355...21.6095..","c.45.81..45.94..46.07..46.19025..46.32025..46.4405..46.5705.."
"240",23.9,52.915,43.84825,84.6865,76.73,56.8,90.78425,75.19,69.0155,79.03
"241",24,52.92,43.84825,84.827,76.84,56.8,90.9755,75.285,69.035,79.12025
"242",24.1,52.92,43.84825,84.9675,76.96,56.8,91.17625,75.39,69.0545,79.2105
"243",24.2,52.92,43.84825,85.0985,77.06,56.8,91.3675,75.475,69.06425,79.33
"244",24.3,52.92,43.84825,85.239,77.14,56.8,91.5585,75.57,69.08375,79.42025
"245",24.4,52.92,43.84825,85.3795,77.24,56.8,91.76925,75.67,69.10325,79.5105
"246",24.5,52.92,43.84825,85.51025,77.335,56.8,91.97,75.77,69.113,79.61025
"247",24.6,52.92,43.84825,85.65075,77.445,56.8,92.18075,75.86,69.1325,79.71025
"248",24.7,52.93,43.84825,85.7815,77.575,56.81,92.401,75.96,69.14225,79.7905
"249",24.8,52.93,43.84825,85.922,77.675,56.81,92.61175,76.05,69.162,79.8905
"250",24.9,52.93,43.84825,86.05275,77.785,56.81,92.8515,76.145,69.17175,80.0105
"251",25,52.93,43.84825,86.19325,77.89,56.81,93.11075,76.23,69.19125,80.1
"252",25.1,52.93,43.84825,86.324,77.985,56.81,93.3605,76.32,69.201,80.161
"253",25.2,52.93,43.84825,86.45475,78.075,56.81,93.61,76.41,69.21075,80.29
"254",25.3,52.93,43.84825,86.58525,78.185,56.81,93.869,76.5,69.23025,80.40125
"255",25.4,52.93,43.84825,86.716,78.32,56.81,94.11825,76.58,69.24,80.5215
"256",25.5,52.93,43.84825,86.846,78.445,56.81,94.3675,76.65,69.24975,80.66025
"257",25.6,52.93,43.84825,86.9755,78.575,56.81,94.62625,76.75,69.26925,80.75075
"258",25.7,52.93,43.84825,87.10475,78.685,56.81,94.8755,76.83,69.279,80.84075
"259",25.8,52.94,43.84825,87.2245,78.785,56.81,95.12475,76.93,69.28875,80.9505
"260",25.9,52.94,43.84825,87.35375,78.88,56.81,95.3835,77.025,69.2985,81.06
"261",26,52.94,43.84825,87.483,78.96,56.81,95.63275,77.09,69.30825,81.16
"262",26.1,52.94,43.84825,87.60275,79.045,56.81,95.88175,77.195,69.32775,81.25025
"263",26.2,52.94,43.84825,87.732,79.11,56.81,96.14075,77.295,69.3375,81.35025
"264",26.3,52.94,43.84825,87.8515,79.2,56.81,96.38025,77.395,69.34725,81.451
"265",26.4,52.94,43.84825,87.971,79.29,56.81,96.601,77.49,69.357,81.57025
"266",26.5,52.94,43.84825,88.10025,79.4,56.81,96.81225,77.59,69.36675,81.64075
"267",26.6,52.94,43.84825,88.21975,79.505,56.81,97.02325,77.66,69.3765,81.711
"268",26.7,52.94,43.84825,88.33925,79.605,56.81,97.2335,77.735,69.38625,81.84025
"269",26.8,52.95,43.84825,88.45875,79.7,56.81,97.453,77.82,69.396,81.9705
"270",26.9,52.95,43.84825,88.578,79.78,56.81,97.66275,77.9,69.40575,82.08
"271",27,52.95,43.84825,88.6975,79.89,56.81,97.8725,77.995,69.4155,82.161
"272",27.1,52.95,43.84825,88.817,79.99,56.81,98.082,78.07,69.42525,82.291
"273",27.2,52.95,43.84825,88.93625,80.09,56.81,98.29175,78.165,69.43525,82.4105
"274",27.3,52.95,43.84825,89.05575,80.2,56.81,98.50125,78.25,69.445,82.54
"275",27.4,52.95,43.84825,89.175,80.305,56.81,98.711,78.34,69.455,82.64025
"276",27.5,52.95,43.84825,89.2845,80.41,56.81,98.9205,78.41,69.465,82.71075
"277",27.6,52.95,43.84825,89.404,80.525,56.81,99.13025,78.485,69.46525,82.8205
"278",27.7,52.95,43.84825,89.5135,80.63,56.81,99.33,78.565,69.47525,82.9405
"279",27.8,52.95,43.84825,89.63275,80.74,56.81,99.5205,78.645,69.48525,83.0605
"280",27.9,52.96,43.84825,89.74225,80.84,56.81,99.72075,78.73,69.49525,83.16075
"281",28,52.96,43.84825,89.8615,80.93,56.81,99.91125,78.81,69.50525,83.25175
"282",28.1,52.96,43.84825,89.971,81.025,56.81,100.15025,78.895,69.51525,83.3415
"283",28.2,52.96,43.84825,90.0805,81.11,56.81,100.3705,78.97,69.51525,83.45075
"284",28.3,52.96,43.84825,90.19025,81.2,56.81,100.5715,79.045,69.52525,83.5505
"285",28.4,52.96,43.84825,90.28075,81.29,56.849,100.78225,79.135,69.53525,83.62175
"286",28.5,52.96,43.84825,90.3615,81.38,56.89775,100.983,79.205,69.54525,83.72225
"287",28.6,52.965,43.84825,90.452,81.47,56.95625,101.192,79.29,69.54525,83.86175
"288",28.7,52.965,43.84825,90.5425,81.56,57.005,101.39125,79.37,69.55525,83.9915
"289",28.8,52.965,43.84825,90.62325,81.65,57.05375,101.60025,79.455,69.56525,84.13075
"290",28.9,52.965,43.84825,90.71375,81.73,57.1025,101.7805,79.55,69.5655,84.26
"291",29,52.965,43.84825,90.79425,81.82,57.15125,101.95125,79.64,69.57525,84.31225
"292",29.1,52.965,43.84825,90.88475,81.915,57.2,102.12225,79.715,69.58525,84.354
"293",29.2,52.965,43.84825,90.9655,81.995,57.24875,102.293,79.78,69.5855,84.44475
"294",29.3,52.965,43.84825,91.04625,82.08,57.2975,102.454,79.865,69.59525,84.57375
"295",29.4,52.965,43.84825,91.1365,82.16,57.34625,102.62475,79.945,69.60525,84.72225
"296",29.5,52.97,43.84825,91.21725,82.25,57.395,102.7955,79.995,69.6055,84.87075
"297",29.6,52.97,43.84825,91.29775,82.335,57.44375,102.976,80.05,69.61525,84.99075
"298",29.7,52.97,43.84825,91.3785,82.42,57.4925,103.20525,80.14,69.6155,85.0825
"299",29.8,52.97,43.84825,91.459,82.5,57.54125,103.4345,80.22,69.62525,85.17375
"300",29.9,52.97,43.84825,91.5395,82.58,57.59,103.66375,80.28,69.63525,85.2645
"301",30,52.97,43.84825,91.62025,82.655,57.63875,103.893,80.35,69.6355,85.34475
"302",30.1,52.97,43.84825,91.70075,82.745,57.67775,104.12225,80.415,69.6355,85.45425
"303",30.2,52.97,43.84825,91.78125,82.825,57.67775,104.35125,80.475,69.63575,85.56375
"304",30.3,52.97,43.84825,91.86175,82.91,57.67775,104.5805,80.56,69.63575,85.673
"305",30.4,52.97,43.84825,91.9325,82.99,57.67775,104.8,80.61,69.636,85.7825
"306",30.5,52.97,43.84825,92.013,83.07,57.67775,105.00075,80.695,69.636,85.892
"307",30.6,52.97,43.84825,92.0935,83.15,57.67775,105.19175,80.78,69.63625,86.00125
"308",30.7,52.97,43.84825,92.16425,83.23,57.67775,105.3925,80.86,69.63625,86.1205
"309",30.8,52.97,43.84825,92.24475,83.31,57.67775,105.58325,80.935,69.6365,86.23025
"310",30.9,52.97,43.84825,92.3155,83.38,57.67775,105.81325,81,69.6365,86.321
"311",31,52.97,43.84825,92.396,83.46,57.67775,106.0335,81.08,69.63675,86.4315
"312",31.1,52.97,43.84825,92.4665,83.54,57.67775,106.2535,81.15,69.63675,86.532
"313",31.2,52.975,43.84825,92.53725,83.62,57.679,106.4835,81.215,69.637,86.64225
"314",31.3,52.975,43.84825,92.61775,83.69,57.6805,106.70375,81.3,69.64675,86.77175
"315",31.4,52.975,43.84825,92.68825,83.77,57.682,106.92375,81.385,69.647,86.9015
"316",31.5,52.975,43.84825,92.759,83.85,57.6835,107.15375,81.46,69.647,87.0215
"317",31.6,52.975,43.84825,92.8295,83.92,57.685,107.37325,81.515,69.64725,87.15125
"318",31.7,52.975,43.84825,92.90025,84,57.6865,107.59225,81.58,69.64725,87.27125
"319",31.8,52.975,43.84825,92.97075,84.07,57.68775,107.811,81.64,69.64725,87.401
"320",31.9,52.975,43.84825,93.04125,84.14,57.68925,108.0205,81.69,69.6475,87.521
"321",32,52.975,43.84825,93.112,84.22,57.69075,108.2015,81.74,69.6475,87.65075
"322",32.1,52.975,43.84825,93.1825,84.29,57.69225,108.37275,81.82,69.64775,87.7705
"323",32.2,52.975,43.84825,93.253,84.36,57.6935,108.544,81.895,69.64775,87.8905
"324",32.3,52.98,43.84825,93.3235,84.44,57.695,108.71525,81.975,69.64775,88.02025
"325",32.4,52.98,43.84825,93.394,84.51,57.6965,108.8865,82.03,69.648,88.14
"326",32.5,52.98,43.84825,93.45475,84.58,57.698,109.05775,82.1,69.648,88.26
"327",32.6,52.98,43.84825,93.52525,84.65,57.69925,109.229,82.175,69.64825,88.38025
"328",32.7,52.98,43.84825,93.59575,84.72,57.73,109.4005,82.26,69.64825,88.4905
"329",32.8,52.98,43.84825,93.6565,84.79,57.79,109.57175,82.33,69.64825,88.61
"330",32.9,52.98,43.84825,93.727,84.87,57.84,109.743,82.415,69.6485,88.72025
"331",33,52.98,43.84825,93.78775,84.955,57.9,109.914,82.47,69.6485,88.8205
"332",33.1,52.98,43.84825,93.85825,85.04,57.96,110.08525,82.53,69.6485,88.9405
"333",33.2,52.98,43.84825,93.91875,85.13,58.01,110.24675,82.595,69.64875,89.07
"334",33.3,52.98,43.84825,93.98925,85.215,58.06975,110.418,82.655,69.64875,89.19025
"335",33.4,52.98,43.84825,94.05,85.305,58.12825,110.58925,82.705,69.64875,89.3005
"336",33.5,52.98,43.84825,94.1105,85.39,58.177,110.78975,82.765,69.649,89.42
"337",33.6,52.98,43.84825,94.181,85.48,58.2355,111.0195,82.835,69.649,89.5305
"338",33.7,52.98,43.84825,94.2415,85.565,58.24525,111.24925,82.9,69.649,89.65075
"339",33.8,52.98,43.84825,94.30225,85.65,58.24525,111.46925,82.99,69.649,89.7615
"340",33.9,52.98,43.84825,94.36275,85.735,58.24525,111.69875,83.05,69.64925,89.872
"341",34,52.98,43.84825,94.42325,85.81,58.24525,111.91875,83.11,69.64925,89.99225
"342",34.1,52.98,43.84825,94.484,85.875,58.24525,112.1485,83.17,69.64925,90.1025
"343",34.2,52.98,43.84825,94.5445,85.94,58.24525,112.3685,83.22,69.64925,90.21275
"344",34.3,52.98,43.84825,94.605,86.03,58.24525,112.598,83.27,69.6495,90.33275
"345",34.4,52.98,43.84825,94.66575,86.11,58.24525,112.818,83.325,69.6495,90.443
"346",34.5,52.98,43.84825,94.72625,86.195,58.24525,113.04775,83.39,69.6495,90.553
"347",34.6,52.98,43.84825,94.78625,86.27,58.24525,113.2675,83.44,69.64975,90.66325
"348",34.7,52.98,43.84825,94.84625,86.35,58.24525,113.49725,83.5,69.64975,90.78325
"349",34.8,52.98,43.84825,94.906,86.43,58.24525,113.71725,83.59,69.64975,90.8935
"350",34.9,52.98,43.84825,94.95625,86.51,58.24525,113.94675,83.65,69.64975,91.0035
"351",35,52.98,43.84825,95.01625,86.575,58.24525,114.16675,83.7,69.64975,91.11375
"352",35.1,52.98,43.84825,95.076,86.64,58.24525,114.3865,83.75,69.65,91.224
"353",35.2,52.98,43.84825,95.12625,86.715,58.24525,114.61625,83.795,69.65,91.334
"354",35.3,52.98,43.84825,95.186,86.79,58.24525,114.836,83.855,69.65,91.44425
"355",35.4,52.98,43.84825,95.236,86.865,58.24525,115.06575,83.91,69.65,91.55425
"356",35.5,52.98,43.84825,95.296,86.925,58.24525,115.2855,83.96,69.65025,91.67425
"357",35.6,52.98,43.84825,95.346,86.98,58.24525,115.5055,84.015,69.65025,91.7845
"358",35.7,52.98,43.84825,95.40575,87.04,58.24525,115.735,84.09,69.65025,91.8945
"359",35.8,52.98,43.84825,95.456,87.1,58.24525,115.955,84.15,69.65025,91.995
"360",35.9,52.98,43.84825,95.51575,87.155,58.24525,116.17475,84.21,69.65025,92.105
"361",36,52.98,43.84825,95.56575,87.215,58.24525,116.3945,84.28,69.6505,92.215
"362",36.1,52.98,43.84825,95.61575,87.27,58.24525,116.62375,84.325,69.6505,92.32525
"363",36.2,52.98,43.84825,95.6755,87.33,58.24525,116.84275,84.375,69.6505,92.43525
"364",36.3,52.98,43.84825,95.7255,87.39,58.24525,117.0615,84.435,69.6505,92.5455
"365",36.4,52.98,43.84825,95.7755,87.465,58.24525,117.28025,84.495,69.6505,92.6555
"366",36.5,52.98,43.84825,95.8255,87.535,58.24525,117.509,84.55,69.6505,92.7655
"367",36.6,52.98,43.84825,95.8755,87.61,58.24525,117.72775,84.605,69.65075,92.86575
"368",36.7,52.98,43.84825,95.93525,87.675,58.24525,117.9465,84.68,69.65075,92.9755
"369",36.8,52.98,43.84825,95.98525,87.745,58.24525,118.1655,84.745,69.65075,93.08525
"370",36.9,52.98,43.84825,96.03525,87.82,58.24525,118.38425,84.785,69.65075,93.195
"371",37,52.98,43.84825,96.08525,87.885,58.24525,118.61275,84.845,69.65075,93.295
"372",37.1,52.98,43.84825,96.135,87.965,58.24525,118.8315,84.905,69.65075,93.40475
"373",37.2,52.98,43.84825,96.185,88.04,58.24525,119.05025,84.95,69.651,93.5145
"374",37.3,52.98,43.84825,96.22525,88.1,58.24525,119.24075,84.985,69.651,93.62425
"375",37.4,52.98,43.84825,96.27525,88.17,58.24525,119.412,85.025,69.651,93.72425
"376",37.5,52.98,43.84825,96.325,88.24,58.24525,119.58325,85.06,69.651,93.834
"377",37.6,52.98,43.84825,96.375,88.32,58.24525,119.7545,85.125,69.651,93.934
"378",37.7,52.98,43.84825,96.42475,88.39,58.24525,119.916,85.175,69.651,94.04375
"379",37.8,52.98,43.84825,96.47475,88.46,58.24525,120.08725,85.23,69.651,94.14375
"380",37.9,52.98,43.84825,96.515,88.54,58.24525,120.2585,85.295,69.65125,94.25325
"381",38,52.98,43.84825,96.56475,88.61,58.24525,120.42975,85.355,69.65125,94.363
"382",38.1,52.98,43.84825,96.61475,88.67,58.24525,120.601,85.41,69.65125,94.463
"383",38.2,52.98,43.84825,96.65475,88.73,58.24525,120.81125,85.46,69.65125,94.57275
"384",38.3,52.98,43.84825,96.7045,88.785,58.24525,121.0215,85.51,69.65125,94.6725
"385",38.4,52.98,43.84825,96.74475,88.84,58.24525,121.23175,85.565,69.65125,94.80175
"386",38.5,52.98,43.84825,96.7945,88.895,58.24525,121.442,85.615,69.65125,94.931
"387",38.6,52.98,43.84825,96.8345,88.955,58.24525,121.64175,85.655,69.6515,95.06025
"388",38.7,52.98,43.84825,96.8845,89.015,58.24525,121.85125,85.705,69.6515,95.161
"389",38.8,52.98,43.84825,96.9245,89.075,58.24525,122.0605,85.745,69.6515,95.262
"390",38.9,52.98,43.84825,96.97425,89.135,58.24525,122.27,85.795,69.6515,95.35275
"391",39,52.98,43.84825,97.01425,89.19,58.24525,122.47925,85.84,69.6515,95.45225
"392",39.1,52.98,43.84825,97.06425,89.24,58.24525,122.679,85.88,69.6515,95.54225
"393",39.2,52.98,43.84825,97.10425,89.29,58.24525,122.8885,85.92,69.6515,95.64175
"394",39.3,52.98,43.84825,97.14425,89.335,58.24525,123.09775,85.96,69.6515,95.7315
"395",39.4,52.98,43.84825,97.18425,89.38,58.24525,123.30725,86,69.6515,95.83125
"396",39.5,52.98,43.84825,97.234,89.445,58.24525,123.50675,86.04,69.6515,95.921
"397",39.6,52.98,43.84825,97.274,89.505,58.24525,123.716,86.09,69.65175,96.011
"398",39.7,52.98,43.84825,97.314,89.565,58.24525,123.9255,86.135,69.65175,96.1105
"399",39.8,52.98,43.84825,97.354,89.615,58.24525,124.125,86.195,69.65175,96.21
"400",39.9,52.98,43.84825,97.394,89.665,58.24525,124.3345,86.245,69.65175,96.3005
"401",40,52.98,43.84825,97.44375,89.715,58.24525,124.534,86.285,69.65175,96.39075
"402",40.1,52.98,43.84825,97.48375,89.775,58.24525,124.74325,86.335,69.65175,96.481
"403",40.2,52.98,43.84825,97.52375,89.835,58.24525,124.95275,86.38,69.65175,96.57125
"404",40.3,52.98,43.84825,97.56375,89.89,58.24525,125.15225,86.425,69.65175,96.67125
"405",40.4,52.98,43.84825,97.6035,89.94,58.24525,125.3615,86.48,69.65175,96.781
"406",40.5,52.98,43.84825,97.6435,89.985,58.24525,125.561,86.52,69.65175,96.9005
"407",40.6,52.98,43.84825,97.6835,90.03,58.24525,125.7705,86.55,69.65175,97.02
"408",40.7,52.98,43.84825,97.7235,90.075,58.24525,125.97,86.58,69.652,97.1305
"409",40.8,52.98,43.84825,97.7535,90.12,58.24525,126.15075,86.61,69.652,97.231
"410",40.9,52.98,43.84825,97.7935,90.165,58.24525,126.33125,86.655,69.652,97.351
"411",41,52.98,43.84825,97.8335,90.21,58.24525,126.51175,86.695,69.652,97.471
"412",41.1,52.98,43.84825,97.87325,90.25,58.24525,126.6925,86.74,69.652,97.601
"413",41.2,52.98,43.84825,97.91325,90.295,58.24525,126.873,86.78,69.652,97.721
"414",41.3,52.98,43.84825,97.95325,90.34,58.24525,127.05375,86.835,69.652,97.841
"415",41.4,52.98,43.84825,97.98325,90.38,58.24525,127.23425,86.875,69.652,97.961
"416",41.5,52.98,43.84825,98.02325,90.43,58.24525,127.41475,86.91,69.652,98.09075
"417",41.6,52.98,43.84825,98.063,90.475,58.24525,127.5955,86.94,69.652,98.211
"418",41.7,52.98,43.84825,98.09325,90.52,58.24525,127.776,86.98,69.652,98.331
"419",41.8,52.98,43.84825,98.133,90.565,58.24525,127.9565,87.05,69.652,98.451
"420",41.9,52.98,43.84825,98.173,90.615,58.24525,128.137,87.095,69.652,98.58075
"421",42,52.98,43.84825,98.203,90.66,58.24525,128.3075,87.14,69.652,98.70075
"422",42.1,52.98,43.84825,98.24275,90.705,58.24525,128.48725,87.17,69.65225,98.82075
"423",42.2,52.98,43.84825,98.273,90.75,58.24525,128.66725,87.19,69.65225,98.94075
"424",42.3,52.98,43.84825,98.31275,90.795,58.24525,128.847,87.225,69.65225,99.06075
"425",42.4,52.98,43.84825,98.343,90.84,58.24525,129.06575,87.26,69.65225,99.18075
"426",42.5,52.98,43.84825,98.38275,90.885,58.24525,129.2845,87.3,69.65225,99.31075
"427",42.6,52.98,43.84825,98.41275,90.93,58.24525,129.5035,87.345,69.65225,99.43075
"428",42.7,52.98,43.84825,98.4525,90.975,58.24525,129.72225,87.395,69.65225,99.55025
"429",42.8,52.98,43.84825,98.48275,91.02,58.24525,129.941,87.45,69.65225,99.6505
"430",42.9,52.98,43.84825,98.5225,91.065,58.24525,130.15,87.485,69.65225,99.751
"431",43,52.98,43.84825,98.5525,91.115,58.24525,130.37,87.52,69.65225,99.8515
"432",43.1,52.98,43.84825,98.5825,91.165,58.24525,130.59,87.56,69.65225,99.9515
"433",43.2,52.98,43.84825,98.62225,91.225,58.24525,130.81,87.595,69.65225,100.05125
"434",43.3,52.98,43.84825,98.6525,91.28,58.24525,131.03,87.63,69.65225,100.151
"435",43.4,52.98,43.84825,98.6825,91.35,58.24525,131.25,87.655,69.65225,100.241
"436",43.5,52.98,43.84825,98.72225,91.41,58.24525,131.47,87.68,69.65225,100.34075
"437",43.6,52.98,43.84825,98.75225,91.48,58.24525,131.69,87.72,69.65225,100.4405
"438",43.7,52.98,43.84825,98.78225,91.54,58.24525,131.91,87.74,69.65225,100.54025
"439",43.8,52.98,43.84825,98.81225,91.6,58.24525,132.13,87.765,69.65225,100.63025
"440",43.9,52.98,43.84825,98.84225,91.66,58.24525,132.34,87.79,69.6525,100.73
"441",44,52.98,43.84825,98.882,91.71,58.24525,132.56,87.825,69.6525,100.8105
"442",44.1,52.98,43.84825,98.912,91.76,58.24525,132.78,87.865,69.6525,100.9005
"443",44.2,52.98,43.84825,98.942,91.8,58.24525,133,87.91,69.6525,100.99075
"444",44.3,52.98,43.84825,98.972,91.83,58.24525,133.22,87.96,69.6525,101.081
"445",44.4,52.98,43.84825,99.002,91.87,58.24525,133.4205,88.005,69.6525,101.171
"446",44.5,52.98,43.84825,99.03175,91.91,58.24525,133.62,88.05,69.6525,101.2515
"447",44.6,52.98,43.84825,99.06175,91.955,58.24525,133.79075,88.09,69.6525,101.3415
"448",44.7,52.98,43.84825,99.09175,91.995,58.24525,133.96125,88.13,69.6525,101.43175
"449",44.8,52.98,43.84825,99.12175,92.04,58.24525,134.12225,88.17,69.6525,101.52175
"450",44.9,52.98,43.84825,99.15175,92.075,58.24525,134.293,88.205,69.6525,101.60225
"451",45,52.98,43.84825,99.18175,92.11,58.24525,134.4635,88.24,69.6525,101.69225
"452",45.1,52.98,43.84825,99.2115,92.135,58.24525,134.6245,88.275,69.6525,101.7825
"453",45.2,52.98,43.84825,99.2415,92.17,58.24525,134.79525,88.31,69.6525,101.86275
"454",45.3,52.98,43.84825,99.2715,92.205,58.24525,134.956,88.345,69.6525,101.953
"455",45.4,52.98,43.84825,99.3015,92.235,58.24525,135.12675,88.38,69.6525,102.03325
"456",45.5,52.98,43.84825,99.33125,92.27,58.24525,135.28775,88.42,69.6525,102.12325
"457",45.6,52.98,43.84825,99.3515,92.305,58.24525,135.45825,88.455,69.6525,102.2035
"458",45.7,52.98,43.84825,99.3815,92.335,58.24525,135.61925,88.495,69.6525,102.29325
"459",45.8,52.98,43.84825,99.41125,92.37,58.24525,135.78,88.54,69.6525,102.37325
"460",45.9,52.98,43.84825,99.44125,92.405,58.24525,135.95075,88.575,69.6525,102.463
"461",46,52.98,43.84825,99.471,92.435,58.24525,136.11175,88.615,69.6525,102.54275
"462",46.1,52.98,43.84825,99.49125,92.46,58.24525,136.28225,88.635,69.6525,102.6325
"463",46.2,52.98,43.84825,99.52125,92.485,58.24525,136.48225,88.66,69.6525,102.7125
"464",46.3,52.98,43.84825,99.551,92.525,58.24525,136.682,88.695,69.6525,102.79225
"465",46.4,52.98,43.84825,99.581,92.565,58.24525,136.882,88.735,69.6525,102.882
"466",46.5,52.98,43.84825,99.601,92.6,58.24525,137.08175,88.785,69.6525,102.96175
"467",46.6,52.98,43.84825,99.631,92.645,58.24525,137.2815,88.835,69.6525,103.0515
"468",46.7,52.98,43.84825,99.66075,92.685,58.24525,137.4815,88.88,69.6525,103.1315
"469",46.8,52.98,43.84825,99.681,92.73,58.24525,137.6715,88.91,69.65275,103.21125
"470",46.9,52.98,43.84825,99.71075,92.765,58.24525,137.871,88.935,69.65275,103.33025
"471",47,52.98,43.84825,99.73075,92.805,58.24525,138.08025,88.96,69.65275,103.411
"472",47.1,52.98,43.84825,99.76075,92.845,58.24525,138.28925,88.985,69.65275,103.492
"473",47.2,52.98,43.84825,99.7905,92.88,58.24525,138.49825,89.005,69.65275,103.56325
"474",47.3,52.98,43.84825,99.81075,92.915,58.24525,138.7075,89.025,69.65275,103.63475
"475",47.4,52.98,43.84825,99.8405,92.95,58.24525,138.9165,89.065,69.65275,103.71475
"476",47.5,52.98,43.84825,99.8605,92.99,58.24525,139.12575,89.095,69.65275,103.795
"477",47.6,52.98,43.84825,99.8905,93.02,58.24525,139.33475,89.125,69.65275,103.875
"478",47.7,52.98,43.84825,99.9105,93.055,58.24525,139.54375,89.155,69.65275,103.955
"479",47.8,52.98,43.84825,99.94025,93.09,58.24525,139.753,89.18,69.65275,104.035
"480",47.9,52.98,43.84825,99.9605,93.125,58.24525,139.962,89.205,69.65275,104.115
"481",48,52.98,43.84825,99.9805,93.155,58.24525,140.171,89.225,69.65275,104.19525
"482",48.1,52.98,43.84825,100.01025,93.19,58.24525,140.38,89.25,69.65275,104.27525
"483",48.2,52.98,43.84825,100.03025,93.23,58.24525,140.59,89.28,69.65275,104.35525
"484",48.3,52.98,43.84825,100.06025,93.26,58.24525,140.8,89.315,69.65275,104.43525
"485",48.4,52.98,43.84825,100.08025,93.295,58.24525,141,89.34,69.65275,104.51525
"486",48.5,52.98,43.84825,100.10025,93.33,58.24525,141.21,89.36,69.65275,104.59525
"487",48.6,52.98,43.84825,100.13,93.36,58.24525,141.42,89.385,69.65275,104.67525
"488",48.7,52.98,43.84825,100.15,93.395,58.24525,141.63,89.415,69.65275,104.75525
"489",48.8,52.98,43.84825,100.17025,93.43,58.24525,141.84,89.45,69.65275,104.83525
"490",48.9,52.98,43.84825,100.2,93.46,58.24525,142.05,89.475,69.65275,104.925
"491",49,52.98,43.84825,100.22,93.495,58.24525,142.26,89.505,69.65275,105.03425
"492",49.1,52.98,43.84825,100.24,93.525,58.24525,142.47,89.535,69.65275,105.15325
"493",49.2,52.98,43.84825,100.26,93.56,58.24525,142.67,89.56,69.65275,105.27225
"494",49.3,52.98,43.84825,100.28975,93.59,58.24525,142.88,89.59,69.65275,105.39125
"495",49.4,52.98,43.84825,100.30975,93.625,58.24525,143.09,89.625,69.65275,105.5005
"496",49.5,52.98,43.84825,100.32975,93.655,58.24525,143.29025,89.655,69.65275,105.6005
"497",49.6,52.98,43.84825,100.34975,93.685,58.24525,143.48075,89.685,69.65275,105.6815
"498",49.7,52.98,43.84825,100.36975,93.715,58.24525,143.671,89.71,69.65275,105.76225
"499",49.8,52.98,43.84825,100.3995,93.745,58.24525,143.8615,89.725,69.65275,105.8335
"500",49.9,52.98,43.84825,100.4195,93.78,58.24525,144.052,89.75,69.65275,105.9145
"501",50,52.98,43.84825,100.4395,93.805,58.24525,144.24225,89.765,69.65275,105.99525
